date,company,category,value,source
2016-04-01,CNT EP,TELEFONIA E INTERNET,670017.0,servicios
2016-04-01,CNT EP,INTERNET,54867.0,servicios
2016-04-01,CNT EP,DATOS,141478.0,servicios
2016-04-01,CNT EP,TOTAL_EMPRESA,1215638.0,servicios
2016-04-01,CNT EP,CHECK_SUM_SERVICIOS,1215638.0,servicios
2016-04-01,TOTAL_MERCADO,TOTAL_MERCADO,14191494.0,servicios
2016-04-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,14191494.0,servicios
2016-05-01,CONECEL S.A.,TELEFONIA,5126455.0,servicios
2016-05-01,CONECEL S.A.,TELEFONIA E INTERNET,3259392.0,servicios
2016-05-01,CONECEL S.A.,INTERNET,316194.0,servicios
2016-05-01,CONECEL S.A.,DATOS,128052.0,servicios
2016-05-01,CONECEL S.A.,TOTAL_EMPRESA,8830093.0,servicios
2016-05-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8830093.0,servicios
2016-05-01,OTECEL S.A.,TELEFONIA,2078296.0,servicios
2016-05-01,OTECEL S.A.,TELEFONIA E INTERNET,1847327.0,servicios
2016-05-01,OTECEL S.A.,INTERNET,44018.0,servicios
2016-05-01,OTECEL S.A.,DATOS,182150.0,servicios
2016-05-01,OTECEL S.A.,TOTAL_EMPRESA,4151791.0,servicios
2016-05-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4151791.0,servicios
2016-05-01,CNT EP,TELEFONIA,367028.0,servicios
2016-05-01,CNT EP,TELEFONIA E INTERNET,682759.0,servicios
2016-05-01,CNT EP,INTERNET,53810.0,servicios
2016-05-01,CNT EP,DATOS,141556.0,servicios
2016-05-01,CNT EP,TOTAL_EMPRESA,1245153.0,servicios
2016-05-01,CNT EP,CHECK_SUM_SERVICIOS,1245153.0,servicios
2016-05-01,TOTAL_MERCADO,TOTAL_MERCADO,14227037.0,servicios
2016-05-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,14227037.0,servicios
2016-06-01,CONECEL S.A.,TELEFONIA,4991193.0,servicios
2016-06-01,CONECEL S.A.,TELEFONIA E INTERNET,3562230.0,servicios
2016-06-01,CONECEL S.A.,INTERNET,182461.0,servicios
2016-06-01,CONECEL S.A.,DATOS,128549.0,servicios
2016-06-01,CONECEL S.A.,TOTAL_EMPRESA,8864433.0,servicios
2016-06-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8864433.0,servicios
2016-06-01,OTECEL S.A.,TELEFONIA,2458822.0,servicios
